Question,Category,Sub-category / Clause,Audience,Response
Any disciplinary actions for employees who fail to comply with data-security policy?,Assets – People,A.1.4,HR ,Yes. Formal warnings and termination
"Is there any internal or external training you and your staff attended before? Any record (e.g., email or invoices) to prove?",Assets – People,A.1.4a,HR ,Yes all employees attend. 
Any existing cyber-hygiene practices and guidelines for employees’ daily operations?,Assets – People,A.1.4b,HR ,Yes. Employees receive a cyber hygiene handbook to understand best practices.
"Are the training topics covering phishing, password management, etc.? Share the topics or training guides.",Assets – People,A.1.4c,HR ,"Yes. Training covers phishing, password management, reporting, social engineering,etc."
Is the cybersecurity training tailored based on the roles of the employees? Does everyone receive the same training?,Assets – People,A.1.4c,HR ,No. Training received depends on role. 
How do you test that trainees walk away with the required knowledge? Is there a quiz conducted?,Assets – People,A.1.4e,HR ,Yes quiz is covered
How often do you conduct cybersecurity awareness trainings?,Assets – People,A.1.4e,HR ,Twice a year.
,,,,
What operating system is used for end-user devices and applications currently?,Hardware and Software,A.2.4a,IT,"Mostly Windows 10, Some using macOS"
Are there any machines running that you might not be aware of? Who provides that information?,Hardware and Software,A.2.4a,IT,No. IT maintain the asset inventory. 
"Does the asset inventory include all types of hardware in use, such as servers, network devices, laptops, computers, mobile devices and IoT devices?",Hardware and Software,A.2.4.b,IT,Yes
"Does your hardware asset inventory include all required details: name/model, serial number, type, location, network address, owner, classification, department, approval date, and end-of-support date?",Hardware and Software,A.2.4.c,IT,Yes
"Does your software asset inventory include all applications, including those hosted on cloud instances? ",Hardware and Software,A.2.4.d,IT,Yes
"Does your software asset inventory include all required details: name, publisher, version, business purpose, classification, approval date, and end-of-support date?",Hardware and Software,A.2.4.e,IT,Yes
Is your hardware and software asset inventory reviewed at least twice per year?,Hardware and Software,A.2.4.f,IT,Yes
"Do you know whether the OS used is already end-of-support? If yes, what is the process of replacing/upgrading?",Hardware and Software,A.2.4g,IT,Yes. IT monitor the EOS. Replacement or upgrade will be triggered.
"Is anyone monitoring whether the OS in use is no longer supported by the vendor (e.g., Microsoft)?",Hardware and Software,A.2.4g,IT,Yes
