Question,Category,Sub-category / Clause,Audience,Response
Any disciplinary actions for employees who fail to comply with data-security policy?,Assets – People,A.1.4,HR ,"Yes, warnings or dismissal."
"Is there any internal or external training you and your staff attended before? Any record (e.g., email or invoices) to prove?",Assets – People,A.1.4a,HR ,"Yes, annual training; records kept."
Any existing cyber-hygiene practices and guidelines for employees’ daily operations?,Assets – People,A.1.4b,HR ,"Yes, guide provided."
"Are the training topics covering phishing, password management, etc.? Share the topics or training guides.",Assets – People,A.1.4c,HR ,"Yes, covers those topics."
How do you test that trainees walk away with the required knowledge? Is there a quiz conducted?,Assets – People,A.1.4e,HR ,"Yes, quiz given."
How often do you conduct cybersecurity awareness trainings?,Assets – People,A.1.4e,HR ,Yearly.
,,,,
What operating system is used for end-user devices and applications currently?,Hardware and Software,A.2.4a,IT,Windows 11 and Linux.
Are there any machines running that you might not be aware of? Who provides that information?,Hardware and Software,A.2.4a,IT,"No, all tracked."
"Does the asset inventory include all types of hardware in use, such as servers, network devices, laptops, computers, mobile devices and IoT devices?",Hardware and Software,A.2.4.b,IT,"Yes, all included."
"Does your hardware asset inventory include all required details: name/model, serial number, type, location, network address, owner, classification, department, approval date, and end-of-support date?",Hardware and Software,A.2.4.c,IT,"Yes, all details."
"Does your software asset inventory include all applications, including those hosted on cloud instances? ",Hardware and Software,A.2.4.d,IT,"Yes, cloud apps included."
"Does your software asset inventory include all required details: name, publisher, version, business purpose, classification, approval date, and end-of-support date?",Hardware and Software,A.2.4.e,IT,"Yes, all fields."
Is your hardware and software asset inventory reviewed at least twice per year?,Hardware and Software,A.2.4.f,IT,"Yes, twice a year."
"Do you know whether the OS used is already end-of-support? If yes, what is the process of replacing/upgrading?",Hardware and Software,A.2.4g,IT,"Yes, replaced before EOL."
"Is anyone monitoring whether the OS in use is no longer supported by the vendor (e.g., Microsoft)?",Hardware and Software,A.2.4g,IT,"Yes, IT checks."
"If assests reach end-of-support, is there a documented risk assessment, approval from senior management and monitoring procedure until replacement?",Hardware and Software,A.2.4.h,IT,"Yes, risk assessed."
What is the authorisation process to onboard new hardware and software into the organisation?,Hardware and Software,A.2.4.i,IT,Approval required.
Is the assent inventory list constantly updated with the date of authorisation of software and hardware?,Hardware and Software,A.2.4.j,IT,"Yes, always updated."
What is the current procedure to dispose of physical and software assests without approval dates?,Hardware and Software,A.2.4k,IT,Isolated and destroyed.
"Are there any procedures in place for secure media destruction (e.g., USB drives)?",Hardware and Software,"A.2.4l, A.2.4.m",IT,"Yes, destroyed securely."
,,,,
,,,,
Who are your primary customers (B2B or B2C)? What services do you provide?,Data,A.3.4,Owner,B2B; IT services.
 What are the company’s critical functions?,Data,A.3.4,Owner,Service and support.
Any regulations besides PDPA that your company must comply with?,Data,A.3.4,Owner,Yes.
Do you know what data must be protected?,Data,A.3.4a,IT,"Yes, sensitive data."
Where are these data stored? Are they encrypted? How are the keys managed and stored?,Data,A.3.4a,IT,Encrypted cloud; IT manages keys.
"Have you classified data by sensitivity (Public, Confidential, Internal)?",Data,A.3.4a,IT,"Yes, classified."
Are security measures and access controls applied based on data-classification levels?,Data,A.3.4a,IT,"Yes, access controlled."
"Where are data located, and what are the retention periods?",Data,A.3.4a,IT,Cloud; 7 years.
How often is the inventory list being reviewed?,Data,A.3.4.b,IT,Every 6 months.
"Do you establish measures like password protecting documents, encrypt personal data and emails to protect critical data? ",Data,A.3.4.c,IT,"Yes, encrypted."
