Item,Questions,Audience,Response from meeting,(company) email response
1,Who are your primary customers? Is it B2B or B2C? What are the services provided?,Owner,Multiple vendors providing service/platform. List of them. ,B2B
2,What is Operating System used for end user and application currently?,"Owner, Purchaser or IT","WhatsApp, Autodesk, Adobe, Enscape - chaos.",Windows 11
3,Do you know whether the OS used is already end of support?,IT,No,Don’t know
4,Anyone looking at whether the used OS not more supported by vendor eg Microsoft?,IT,No,No
5,Any asset inventory list? Both hardware and software. Who is managing it?,"Owner, Purchaser or IT",No,No
6,Are there any machines running somewhere that you might not be aware? Who should be the one who gives the information?,IT,"Singtel, AP - TPLink.
(need to follow up to get this information)",No
7,Are there any security controls (i.e EDR)  installed in machines? ,"Owner, Purchaser or IT",Riding on the endpoint security comes with OS (likely Windows Defender),No
8,Any VA scans conducted? Can share the frequency and remediations. Who is managing it?,IT,"Automatic, no one managing. User handling themselves.",No
9,Is there a business continuity plan in place?,Owner,"no, need to documented down",No
10,What are the company's critical functions?,"Owner,  IT","cant confirm, its been rewritten too much, and there are too many small parts that could affect us.

(company) rely on many 3rd party vendor. if the service is disrupted with not enough time buffer, it will impact (company) services. There is a list of vendor for failover situation",Employees
11,Any backup for (critical) services and data?,"Owner,  IT",not all laptop are backed up. Back up is stored in NAS but not encrypted but protected by password (1 folder allocated to 1 user),Yes
12,are backups of critical data being performed regularly and stored securely?,"Owner,  IT",(company) does not back up regularly,Occasionally
13,What is the backup plan if computer systems are down/affected? ,"Owner,  IT","not all laptop are backed up, (company) backup their files at nas. ",
14,What manage your computer network? Any network diagram being maintained?,IT,"no network diagram, likely only access point, nas, isp, local machines.",No
15,"Any firewall in place? Any firewall rules to filter malicious traffic? IP blocklisting to identify 
and block IPs that show malicious activity",IT,unsure,Yes
16,Any secondary DNS server available?,IT,unsure,
17,Any other regulations than PDPA in your industry that your company has to comply?,"Owner,  IT",PDPA only,No
18,Do you know what data has to be protected?,"Owner,  IT","yeap, event related files, finance documents, things like that",Yes
19,where are the data stored? Are these data encrypted? How are the keys managed and stored?,"Owner,  IT",using normal office 365 business. No E3E5,
20,Any security policies created for organization? Staff accessible and being told?,"Owner, IT, HR, employees",no,No
21,"Any classification for sensitivity (Public, Confidential, Internal)",IT,"No classification but document with sensitivity information 
may be generated",Yes
22,Are there appropriate security measures and access control in place based on the data classification level?,IT,have identity authentication. ,No
23,Location of data and retention period?,IT,"NAS, laptop, office 365, mobile phone",No
24,Any 3rd party vendors you working with? Is there an inventory of outsourced service providers in place?,"Owner, IT",yes,Yes
25,Any data processing agreements in place? ,"Owner, IT",no,No
26,"Any regular security assessments  conducted to evaluate 3rd party vendors security controls, ensuring that they align with company security policies and outsourcing requirements?","Owner, IT",Don't do today,No
27,"Is there a non-disclosure agreement form for third parties or external vendors who are working 
with sensitive information to sign? ","Owner, IT",only for certain project such as key or high project. ,No
28,"Is there any internal or external training you and your staff attended before? Any record ie in the form email or
 invoices to prove?","Owner, IT, HR, employees",no,No
29,"Are the topics covering Phishing, Password etc? Share the topics or training guides.","Owner, IT, HR, employees",no,No
30,How do you test that the trainee walks away with the required knowledge? Is there a quiz conducted?,"Owner, IT, HR, employees",no,No
31,Any existing Cyber hygiene practices and guidelines developed for employees to adopt in their daily operations?,"Owner, IT, HR, employees","no, only verbal reminder to employees",No
32, is there a list of login accounts to workstations and servers of every employee in place?,"Owner, IT, HR",yes,Yes
33,Is there a process with the necessary approvals to grant and revoke access?,"Owner, IT, HR",yes,Yes
34,what is the currrent process for reporting any stolen/loss corporate device?,"Owner, IT, HR",Adhoc,Report to Director directly
35,What are the current physical control? i.e card access door lock to authenticate and authorise entry,"Owner, IT, HR",Biometric - facial recognition. No Log but got cctv,Yes
